fold,window,strategy,variant,symbols,avg_trades,avg_win_rate,avg_return_pct,avg_max_dd_pct,avg_sharpe,avg_profit_factor,score,train_start,train_end,test_start,test_end
1,train,Extreme_HMA_ATR,base,2,48.0,33.391228831958315,9.753122286492964,20.882574397247723,1.0126603216450998,1.3374497359346158,10.693805204431866,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,Extreme_HMA_ATR,slow,2,23.5,33.96739130434783,23.19921494862217,16.890704491544497,2.038370552174214,2.636745652269508,40.040361906111386,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,GK_Trend_Ribbon,fast,2,36.0,36.06177606177606,-0.9266335744344323,27.593544951317106,0.08760267083909729,1.114888631420824,-13.819512258281662,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,GK_Trend_Ribbon,base,2,27.0,36.950549450549445,17.405199427995605,21.13055727090167,1.3092204911195098,2.0073503978260394,22.837445971214798,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,GK_Trend_Ribbon,slow,2,16.0,52.02429149797571,31.92440153498042,17.451739949944525,2.6223213584221035,3.0272225549477216,55.24462753660404,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,KTY_ABCD,fast,2,25.0,40.0,-12.766300798337877,24.23410655598406,-1.4188484262928454,0.687298511853816,-39.777002715222224,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,KTY_ABCD,base,2,12.0,40.0,-16.754710085770817,27.389667720626996,-1.4862149718225683,0.5228761215078941,-46.743470132602965,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,KTY_ABCD,slow,2,14.5,69.94047619047619,44.41176933447202,19.191280336117146,3.4604658397267984,62.651366371125235,224.1300754578828,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,Gaussian_MA,fast,2,103.0,39.269212635549266,14.335230186532254,21.231803686322337,1.0728540441719168,1.332027233745806,15.654756500822536,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,Gaussian_MA,base,2,73.0,41.08920187793427,20.489437083831252,20.348770949429454,2.2760769963414518,1.6648235827331987,35.203003434421085,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,Gaussian_MA,slow,2,54.0,31.40781736423383,12.408263646678975,19.748707901685897,1.5330030904905017,1.5577791585674698,19.783517706991127,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,SmartSafeZone,fast,2,256.5,46.358024691358025,0.8371930457135015,24.836608885513833,-0.263952304664011,1.1742695672686052,-13.768621414063395,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,SmartSafeZone,base,2,232.0,45.28694617900684,-1.193778180544641,24.6374555072062,-0.18871472108717302,1.1642400545376494,-14.952798559395967,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,train,SmartSafeZone,slow,2,193.0,42.55370569280343,4.699539325741725,23.446914181573025,0.17813742004039645,1.191241295834124,-4.609131743212814,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
2,train,Jurik_Breakouts,fast,2,22.5,45.366379310344826,94.0759382749766,17.070409768824895,2.7561932916626164,6.363872285182493,127.30530604326405,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Jurik_Breakouts,base,2,13.5,42.64705882352941,48.44095975707175,18.925605232436972,2.038721843319134,3.308221025895513,65.74336761553968,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Jurik_Breakouts,slow,2,11.5,46.92307692307692,23.93944171986513,24.393120755240027,1.417272547201197,2.5214053121151636,29.77980801902099,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,LuxAlgo_MSB_OB,fast,2,95.0,38.718994223581376,27.030885407141973,23.53925565337558,0.6285981356866125,1.36883411953607,22.61539867082292,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,LuxAlgo_MSB_OB,base,2,73.0,37.7574154543737,25.10478195924228,23.95338870331351,0.857131031786861,1.35011150204517,22.679337810235708,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,LuxAlgo_MSB_OB,slow,2,54.0,36.17131062951496,27.47590795689382,24.61079594296959,1.2276621880721679,1.469847017433445,28.660669815417357,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,BackQuant_VolSkew,fast,2,36.0,43.344025661587814,83.94031021703799,15.052678914298696,2.2439509389533816,3.433974987888449,105.93314972771371,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,BackQuant_VolSkew,base,2,20.5,56.216931216931215,73.62247672907564,21.053305279167606,2.6109873918012076,4.471804280654029,98.27987818122222,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,BackQuant_VolSkew,slow,2,17.5,57.189542483660134,56.66377560684972,23.401908343716364,2.3049702603563196,3.7977973601043034,75.16682660444386,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,REH_REL_Breakout,fast,2,3.0,90.0,85.92019602110335,17.075343424813404,2.642536430234349,312.7511170487147,883.9781468903456,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,REH_REL_Breakout,base,2,1.0,100.0,75.26835545273988,19.69925183933952,2.381065749172846,99.0,334.7594618408646,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,REH_REL_Breakout,slow,2,1.0,100.0,75.26835545273988,19.69925183933952,2.381065749172846,99.0,334.7594618408646,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,DAFE_Bands_SmartComposite,fast,2,19.0,51.07692307692308,71.19089769934152,20.414351674659166,2.6566407715765905,3.819131666746242,95.05652357717753,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,DAFE_Bands_SmartComposite,base,2,7.0,78.88888888888889,82.36589906922435,21.556284260651786,2.7294886348580985,8.873784940940189,118.91147721376475,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,DAFE_Bands_SmartComposite,slow,2,5.0,60.0,58.60695637721592,20.628363004687337,2.435295904598037,12.517879908816894,101.87759739242613,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,PrimeUltimate_Sniper,fast,2,155.0,35.16129032258064,44.50296742323756,28.73750790375842,1.2443794342661756,1.3794950888744588,43.152994745830405,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,PrimeUltimate_Sniper,base,2,143.0,34.58670591120922,46.209321121969275,25.86136336734745,1.3117564575234006,1.4484821559758216,47.43127306673436,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,PrimeUltimate_Sniper,slow,2,121.0,34.43126164033938,75.1637515093124,22.531082615602383,1.738301065317427,1.6586755661113028,83.1748015084035,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Extreme_HMA_ATR,fast,2,103.0,37.37864077669903,32.50719608271758,25.08548311372689,1.0419268214757036,1.408346578022262,31.39604087429413,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Extreme_HMA_ATR,base,2,94.0,37.946069994262764,33.081957116462526,22.20203464953633,1.0589704522972145,1.3978560975442236,33.845081093573434,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Extreme_HMA_ATR,slow,2,50.0,39.07563025210084,43.548078765233655,20.968166299104205,1.714253177546918,1.9506846342749191,52.98642234692762,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,GK_Trend_Ribbon,fast,2,68.0,40.33879781420765,11.153907684369301,27.593544951317106,0.6979720091115221,1.2650887932245527,4.740222787755641,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,GK_Trend_Ribbon,base,2,47.0,48.101851851851855,73.5784122919031,21.13055727090167,2.1850457307936635,2.4889184957297763,88.97283147662318,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,GK_Trend_Ribbon,slow,2,40.5,49.481707317073166,85.6189773086503,19.22293303419049,2.2914063394081605,2.8342010569089253,104.08478352448994,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,KTY_ABCD,fast,2,40.5,36.94444444444444,2.203690729980024,24.3248943741606,0.11892077319517969,1.1117394171319954,-8.42268961973455,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,KTY_ABCD,base,2,23.5,37.31481481481481,-9.858807979826473,27.389667720626996,-0.1312930745223665,1.120187440426814,-24.8050707563593,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,KTY_ABCD,slow,2,26.0,54.375,86.97591029592458,20.567002337442315,2.671965963398943,3.652116201760568,110.48565903185003,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Gaussian_MA,fast,2,211.0,36.28838421277265,19.397352896846378,30.753523185914293,0.12567190286665153,1.1940378731942407,5.1870526969499196,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Gaussian_MA,base,2,149.0,40.26845637583892,74.83907965269081,24.38732123048009,2.532403114244086,1.710443639140549,89.80682715469499,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,Gaussian_MA,slow,2,109.0,33.99072903497682,30.474418484695633,25.136553664360413,1.3795945154605338,1.4597102269362083,32.83770700802525,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,SmartSafeZone,fast,2,533.5,43.09196881173848,-18.986650063006902,41.33366131419369,-1.910811769750354,1.0185412300251526,-60.34861147396377,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,SmartSafeZone,base,2,492.5,42.94534045746137,-23.340163727487962,41.79225303016467,-1.7851799719837669,1.0057748944839635,-63.75287802921453,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,train,SmartSafeZone,slow,2,414.0,40.5103668261563,-13.150748584783116,36.82678889487524,-1.2420713720018535,1.032573720458531,-45.08610134058047,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
3,train,Jurik_Breakouts,fast,2,27.5,42.14285714285714,43.880364281747674,37.26691139022262,0.9150609349747103,2.0077536956945194,35.6902110365975,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Jurik_Breakouts,base,2,19.5,41.666666666666664,26.190145579219287,31.800409737828826,0.6528933417979078,1.6356435814200732,17.727942108051252,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Jurik_Breakouts,slow,2,15.5,40.35087719298245,-5.258118347800561,34.66765719476018,0.13477261363275073,1.1288775624644725,-21.888792622167983,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,LuxAlgo_MSB_OB,fast,2,129.0,37.81596653937079,-3.9212420414113804,44.346003050745175,-0.35639771991160596,1.036810156015318,-31.50079568093625,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,LuxAlgo_MSB_OB,base,2,97.0,36.24398073836276,3.390529271725379,38.857973184327136,-0.08725694893174973,1.0784237560905663,-18.10076473796198,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,LuxAlgo_MSB_OB,slow,2,70.0,34.97652582159624,-9.074625982295736,42.79335753290623,-0.5031141630328013,0.9745370767512054,-37.34543944048947,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
