strategy,symbols,avg_trades,avg_win_rate,avg_return_pct,avg_max_dd_pct,avg_sharpe,avg_profit_factor,robust_score
REH_REL_Breakout,2,8.0,52.56410256410256,62.244627156092385,33.171148372806385,0.8885536011768836,2.54166642186503,58.19557477807032
Jurik_Breakouts,2,113.5,38.45138241689966,35.06751393288545,41.21858405551826,0.26388394364215106,1.2007235888306518,12.123077570275171
LuxAlgo_MSB_OB,2,464.0,33.361937053212216,2.0788568421698805,43.46924651494576,-0.6790968064289049,1.0286486091815816,-34.55764528445997
KTY_ABCD,2,482.5,53.50199487523432,-27.102552331346875,47.70164913028914,-0.8886568545891027,0.9815683501729988,-69.61639803344097
BackQuant_VolSkew,2,309.5,49.784743991640546,-34.057057610586014,52.512213448692435,-0.755658644319583,0.9674834079858348,-78.63918779699699
Extreme_HMA_ATR,2,782.5,31.675024861950746,-29.48873077548577,57.07610580988284,-1.0559253453199042,1.0213511123446255,-80.88150982735826
GK_Trend_Ribbon,2,531.5,40.92724234614404,-44.309033421360006,52.034112655500955,-1.3214252986081219,0.9460166311597462,-95.4076549716442
DAFE_Bands_SmartComposite,2,247.5,54.75455614344503,-60.068921411513976,62.239113158839594,-2.114240432510148,0.7504090045927447,-129.11750545239448
PrimeUltimate_Sniper,2,804.0,23.87157760219813,-65.4014097533725,73.90391805417894,-2.557675260872555,0.8686579395795541,-148.04681966615917
BOSWaves_Standalone,2,2284.0,32.09281961471103,-94.06107816605632,94.73146043481194,-10.228706079327875,0.7147263073128796,-284.99524121484825
Gaussian_MA,2,3165.0,29.211544045827722,-97.99452356203867,98.25239043760855,-10.305057025267187,0.7577833064127588,-292.3133674678003
SmartSafeZone,2,4117.5,21.90577660563901,-99.38471223964945,99.44320995774635,-14.087508345234731,0.7043290389186541,-340.1999036951014
